Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/03/2022;2;18;17;19;18;17;19;4;4;3;455;18;27049;23419;0;0;1;0;0;1;0;1;0;1
01/03/2022;3;12;14;0;12;14;0;0;0;0;300;15;10688;10466;0;0;0;0;0;0;0;0;0;0
01/03/2022;4;689;70;1409;689;70;1409;24;25;31;3183;88;652130;622029;49;7;27;64;26;2;3;4;18;4
01/03/2022;5;5726;573;5044;5726;573;5044;139;159;90;24172;817;6645332;6509955;367;762;258;259;123;18;35;19;13;5
01/04/2022;1;49;51;80;49;51;80;10;11;3;2223;53;64104;57321;2;4;1;0;0;2;3;0;1;1
01/04/2022;2;25;10;23;25;10;23;3;3;0;465;10;27295;23654;0;0;0;0;1;0;0;0;0;0
01/04/2022;3;13;10;0;13;10;0;1;1;0;314;13;11035;10795;0;0;0;0;0;0;0;0;0;0
01/04/2022;4;698;27;1446;698;27;1446;19;21;13;3326;40;676668;645752;45;11;21;25;31;5;1;0;6;1
01/04/2022;5;5627;438;5248;5627;438;5248;149;169;63;24964;657;6821994;6681833;398;675;245;237;190;14;19;14;7;9
01/05/2022;1;52;58;81;52;58;81;7;8;8;2203;59;63229;56257;4;3;1;0;0;6;1;3;0;0
01/05/2022;2;18;10;27;18;10;27;4;4;4;449;11;25834;22084;2;0;1;0;0;2;0;1;0;1
01/05/2022;3;10;16;0;10;16;0;0;0;0;317;17;10652;10409;0;0;0;0;0;0;0;0;0;0
01/05/2022;4;635;48;1594;635;48;1594;25;25;16;3435;63;702353;670957;49;24;15;16;19;5;5;3;2;1
01/05/2022;5;5449;454;5557;5449;454;5557;184;205;66;25664;768;6966693;6823151;360;635;261;213;201;18;19;10;5;14
01/06/2022;1;45;63;81;45;63;81;7;8;3;2157;65;62050;55357;2;3;2;2;2;4;1;1;0;0
01/06/2022;2;20;6;30;20;6;30;4;4;2;432;7;24305;20821;7;0;2;1;1;1;0;1;0;0
01/06/2022;3;15;10;0;15;10;0;1;1;0;324;11;10510;10258;0;0;0;0;0;0;0;0;0;0
01/06/2022;4;666;15;1600;666;15;1600;20;21;4;3488;24;708045;677474;42;31;30;14;8;0;3;0;0;1
