Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/07/2018;4;300;50;1782;300;50;1782;59;66;4;4452;56;989196;938933;0;0;1;2;0;4;0;0;0;0
01/07/2018;5;4897;354;3080;4897;354;3080;195;210;26;25274;435;5615393;5484548;326;407;329;218;142;12;7;3;2;2
01/08/2018;1;104;61;46;104;61;46;17;17;2;2109;61;118091;92725;2;2;3;3;0;1;1;1;0;1
01/08/2018;2;24;3;2;24;3;2;6;6;0;367;5;23826;15225;0;0;1;0;0;0;0;0;0;0
01/08/2018;3;9;6;0;9;6;0;5;5;0;303;8;11880;11081;0;0;0;0;0;0;0;0;0;0
01/08/2018;4;302;25;1805;302;25;1805;39;46;1;4451;30;995706;945257;2;0;0;1;2;1;0;0;0;0
01/08/2018;5;5026;322;3097;5026;322;3097;156;166;25;25369;400;5714769;5580082;255;416;334;225;200;12;10;1;1;1
01/09/2018;1;124;49;47;124;49;47;18;18;11;2112;60;119073;92914;2;3;1;2;2;7;1;4;0;3
01/09/2018;2;33;11;2;33;11;2;7;8;1;380;12;24745;15529;0;0;0;0;0;0;0;1;0;0
01/09/2018;3;17;5;0;17;5;0;4;4;0;307;6;12080;11154;0;0;0;0;0;0;0;0;0;0
01/09/2018;4;318;20;1863;318;20;1863;43;49;2;4480;34;1000540;949116;0;2;0;0;0;2;0;0;0;0
01/09/2018;5;5140;266;3280;5140;266;3280;113;122;23;25494;398;5775978;5642090;239;435;284;272;181;10;6;2;1;4
01/10/2018;1;117;95;52;117;95;52;8;8;21;2140;114;121685;95557;8;5;10;3;1;14;2;7;1;1
01/10/2018;2;38;14;7;38;14;7;5;6;3;391;15;26377;17097;9;2;3;0;0;1;0;1;1;0
01/10/2018;3;18;12;0;18;12;0;1;1;0;307;13;12275;11246;0;0;0;0;0;0;0;0;0;0
01/10/2018;4;392;40;1907;392;40;1907;36;50;5;4502;44;999585;948727;54;3;0;0;0;5;0;0;0;0
01/10/2018;5;5351;357;3501;5351;357;3501;113;121;25;25759;471;5839166;5705404;279;441;274;285;182;13;7;3;1;1
01/11/2018;1;56;104;52;56;104;52;14;14;26;2130;112;122035;96143;5;5;4;3;3;10;3;8;6;4
01/11/2018;2;37;16;8;37;16;8;6;6;12;401;18;27087;17905;4;0;3;2;1;3;2;5;2;0
